north: 49N
south: 26N
east: 66W
west: 124W
rows: 12
cols: 46
* 11021.1861462657816446 * 15597.0000269484862656 * 11146.0463852131451858 * * * 15065.6326025068428862 22791.7403592495393241 * 34784.1348031596789951 * 49486.4076358149468433 50433.1669582439790247 51459.6834330156925716 51563.1797299769896199 37795.3444071172489203 37584.3308925520614139 31825.647580645425478 26160.3388083930913126 30722.0644490224549372 * * * * * * * * * * * * * * * * * * * * 47068.7098364285702701 * * 
* * * 54869.7174987508697086 12585.199838475746219 7460.4124068322871608 * * * * * * 43682.7549892403185368 * * 62233.053424829384312 60102.7531835247791605 * 46249.2086616666638292 46419.7302121428583632 40513.7794459366341471 41573.4444829983403906 * * 34225.6202005334780551 * * * * * * * * * * * * * * * * 53932.2022430952347349 52896.6012842857162468 * 54012.0176910033769673 * 
* * * * * * * * * * * * * * * * 61953.1053748489648569 61884.3817054357350571 53296.6013042857157416 54960.225981139956275 47686.7418518559861695 47805.8790389208588749 39522.1822059033074765 39597.6199737472998095 36327.8670629976259079 36528.3185723475544364 * * 38971.4909269798881724 * * * * * 49809.140579331171466 49385.2288999276424875 50385.4915853975398932 50782.7689790476069902 * * * * * * * * 
* * * * * * * 25665.6453657606070919 22989.5405387327627977 * * * * * * * 63455.7780006275279447 * * * 49999.433605764330423 50437.3385135860444279 46296.5343850774734165 46294.1066230952346814 45913.3809804761913256 45917.8532333915136405 44284.5170021254234598 44624.0795594835944939 46798.0532011735049309 * 49849.6721898560281261 * 46631.2948485714368871 * * 48536.6273015733459033 49231.9604623170962441 48201.2411851503275102 46691.7669769611966331 * * * * * * * 
* 11183.0026425105734234 * * * * * * * * * * * * * 23856.3114688843525073 58751.497435423101706 61062.3163665743049933 62456.9034598005382577 62202.3839009583825828 54423.4132936436144519 52946.3602626456195139 54298.6497502070851624 54170.3212999406532617 51374.3873884842905682 51127.8601446445973124 48159.6596710863450426 49008.8000522757720319 50048.3791604298094171 49924.6420719399247901 51947.7255010274457163 51920.886061522680393 53445.7037972614416503 53891.3008283033996122 62063.066238271734619 * * 58968.5974744883642416 * 49540.0865717072883854 * * * * * * 
* * * * * * * * * * * * * * * * 58312.6345315338985529 60455.1403770017932402 65819.303245028029778 65979.8490270830952795 48202.0163099421624793 47019.5525769549567485 58462.3054104585171444 58501.6276648461716832 55629.8636086016049376 55907.5123718968243338 47957.9567852551699616 46854.0264865990538965 47634.5212742652147426 47678.873754891938006 * 53665.7283752561052097 * * * * 61607.7945786136187962 61684.0197098251956049 54603.0030698662594659 * * * * * * * 
* * * 63791.5586818358206074 * * * * * * * * * * * * * * 65775.3347813505388331 59264.5691405853940523 45822.874363573428127 45902.2490908685795148 * * * * 61750.8686629540170543 46193.0254356345976703 * 45322.0015449201891897 * * * * 58574.9004335265271948 58711.9018119959873729 * 58905.3085335775904241 * * * * * * * * 
* * * * 38006.6364890467884834 * * * * * * * * * * * 62981.9388367594292504 * 56813.8187188034280553 57371.2153121141382144 58142.5161249954762752 54351.2853669823016389 * * * 63219.7233860122869373 60041.9127247245123726 48124.8758369801143999 * 50543.2428804042501724 50394.605922637922049 * 53664.2185463071291451 * * 52525.2835406882950338 53191.353645451781631 * * * * * * * * * 
* * * * * * 15279.6393323049578612 * * * * * * * * * * 33562.1578026771894656 52523.10368363399175 * * * * * * 59934.1783461400555097 54741.6662820238270797 * * * * * * 50243.4341983920385246 * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * 58860.2826103598054033 * * * 47396.2677478203913779 36774.7313208642153768 * * * 33439.7216226078744512 38286.2740442797949072 * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * 53748.7579893267611624 * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
