north: 49N
south: 26N
east: 66W
west: 124W
rows: 12
cols: 46
6315.4516667464622515 6129.4988109774940312 * 4744.7572117366107705 4056.7925886835464553 3564.1942917444744126 * 2773.9047619047619264 * 3689.5570635781455167 3247.7897697016633174 * 2957.6505633698097881 * 3338.3956446702522953 3555.3236382586451327 3682.8705059021485795 3652.2476518557455165 2938.1960543034742841 2915.0643095406644534 2839.2694356469273771 2477.9177585831853321 3016.9868334059087829 * 3397.2042619383432793 * * * * * * * * * * 3976.6190476190472509 * * * * * * * 3689.5714285714279868 * 3977.0476190476188094 
6913.9467078916304672 * * 7017.3477086114453414 3951.00261966283324 3252.3430848968969258 3267.8448930117938289 * * * 6690.0952380952367093 5401.8752568463150965 5203.7308530196496577 5057.6190476190467962 * 5468.0859291973820291 4717.6078381462239122 4745.4605155215085688 3954.7142857142857792 3948.2857142857151302 3967.7148100017434444 4134.239818416943308 5227.0728154936023202 5247.7224155339272329 3697.6010802816836076 4097.5513275268067446 * 5106.3333333333330302 3825.4561417094364515 * * 3718.8500945777163906 * * * 3800.5714285714288962 * * * * * 4632.1904761904761472 4584.5238095238091773 * 4429.2968209003238371 4425.3333333333330302 
6030.2244840402472619 * 7709.138206362159508 * * 6892.0902889207245607 3643.9047619047619264 3479.5714285714288962 6943.0384979157479393 * * * * * * 6308.571428571427532 5654.2837721210426025 5535.928672782250942 5252.7619047619045887 5635.2191118610871854 5050.2847120495889612 5059.5458936053164507 4812.7859340161885484 4818.6707059044319976 4586.3311491720760387 4594.1804701428591216 4502.7619047619045887 5348.2380952380954113 4347.8863770387051773 * 4448.6771554050155828 4555.2943722943728062 * * 4461.8165305720885954 4453.744573736300481 4571.0997689808727955 4582.7142857142853245 4545.0476190476192642 * * 4160.5238095238091773 * * * * 
* 4866.1904761904761472 * * 6703.6104335988065941 * * 4735.7981383353480851 4526.3731761990939049 7241.8125738824301152 * * * * 6356.6190476190467962 6240.9642893033924338 6075.6884829358095885 5182.142857142856883 5560.4761904761908227 5919.2728254270477919 5691.9661242029569621 5536.0676359280769248 5103.0454792145219471 5102.7619047619045887 5160.2380952380954113 5160.5846208042803482 4941.1848768557410949 4951.9782498809736353 4972.8472172628898988 * 5242.1991914871223344 5656.2463491734479248 5220.2380952380954113 * * 5085.5524606579510873 4834.7074891073425533 4807.7112171301987473 5002.2267791641161239 * * * * * * * 
* 5008.0385882512564422 * * * * * * * 7281.9047619047623812 6704.9047619047623812 * * 6102.3567885827897044 * 4792.0043491018222994 5530.7032989612816891 5977.4095925238034397 5972.2270700678864159 6413.2325124379558474 5998.1353081379520518 5526.5252759908626103 5443.4623345393065392 5406.1660316297184181 5374.4558873453152046 5342.9369619583912936 5677.5740152619955552 5711.4907731220455389 5571.9576887013654414 5572.3004862609441261 5263.1056532849306677 5260.939396150297398 5207.6316031498590746 5224.2061855335878136 5265.3592026334254115 5261.1498258449828427 5387.7619047619045887 5389.5461325666237826 5074.1861466897044011 5123.6576498911936142 * * * * * * 
* * 4664.8571428571422075 * * * * * * * * 7182.2380952380945018 * * * 7231.5238095238091773 5539.2161722385444591 5990.0313719398018293 6592.9621488279981349 6471.9894998018035039 5390.5153958605669686 5245.6594813648871423 5515.4344932024387163 5528.0441949646874491 5262.9419639938560067 5276.8683777616015504 5116.228844790630319 5071.6661532853358949 5224.9084109246641674 5226.4287013029133959 6021.7619047619054982 5687.4752214328455011 5507.5431877723904108 * 5154.4285714285715585 * 5180.992654211464469 5191.7132741234427158 5461.220161253761944 * * * * * * * 
* * 4935 7794.8995176089292727 * * * * * * * * 7310.1904761904761472 * 7129.6190476190467962 * * 8022.754276516932805 6832.5797126259685683 6579.0422482825224506 4357.4761044212073102 4367.8058689738327303 5219.6692237038605526 5323.7767184022650326 5055.7619047619045887 5055.7619047619045887 5453.3670241155678013 4998.8835345153793241 5074.7461129585071831 5069.8793105197983095 5242.1424058073944252 5251.5714285714284415 5706.6011924859712963 5658.8815952710028796 5573.6326404646024457 5581.6088142082189734 5580.1358138968162166 5576.0992504087244015 * * * * * * * * 
* * * 2462.1938507692170788 * * * * * * * * * * * * 6851.461458249745192 8077.0476190476174452 6642.3291621105745435 6723.6741062401088129 5224.0456616802621284 4962.4221910923160976 5496.2974722462786303 5501.8278393590162523 * 5505.2728621163987555 5539.0118711197601442 5107.4371221955316287 5194.7382353275615969 5210.0592748019726059 5397.6728226289314989 5343.6190476190486152 5275.666185967448655 5264.5931165561823946 5453.8778873955989184 5436.763602078131953 5532.8769029949662581 * * * * * * * * * 
* * * * * 1333.238095238095184 1804.3366432965094646 6263.0476190476192642 * * * * * * * * 7560.8506011695244524 5821.604791465121707 5684.9029471876137904 5833.8881359978540786 5701.7477594610199958 5749 5632.9438780212904021 5598.459524090539162 5491.4761904761908227 5942.5117470981558654 5722.2068610824144343 5356.9047619047614717 5419.1228289637401758 5386.9720594776827056 5490.4373333695821202 5378.2733946596708847 4759.3764440574359469 5434.0986540611411328 5213.8775063101020351 * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * 6557.1946174784879986 6231.0476200765087924 5775.0349608116357558 5581.8021982496666169 * 5815.3899992895785545 5568.3136925884864468 4909.5333108055965567 4892.5238095238100868 * 5578.7772361373272361 5058.4998010894532854 5239.9598310625842714 5954.7596374146714879 4637.8571428571422075 * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * 5915.4644313376456921 5453.4974697596271653 5451.6021120407458511 4608.4691079868198358 * * * * * * * * * * 4308.3361002136934985 * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * 5325.9047619047614717 5437.142857142856883 4863.761907709762454 * * * * * * * * * * * * 3506.3148812818030819 3887.1424652560758659 * * * * * * * * * * * 
