north: 49N
south: 26N
east: 66W
west: 124W
rows: 12
cols: 46
2463.600098 2090.199951 * 1987.900024 1000.799988 1844.800049 * 388.5 * 3094.600098 916.599976 * 968.400024 * 964.900024 1064.400024 1506.900024 1836.400024 1783.699951 1754.699951 1773.900024 1649.599976 1830.599976 * 1707.599976 * * * * * * * * * * 0 * * * * * * * 2580.100098 * 0 
3361.699951 * * 2800.300049 2918.899902 906.700012 467 * * * 0 0 0 0 * 0 1735.199951 0 0 0 0 0 0 0 1633 0 0 0 0 * 0 0 * * * 0 * * * * 0 0 1392.599976 * 0 0 
2391.600098 * 4149.899902 * * 333 0 0 3274.800049 * * * * * * 0 0 0 0 0 0 0 1762.300049 1692.099976 1698.699951 0 0 0 0 * 0 0 * * 2716.100098 3050.800049 0 0 0 * * 0 0 0 * * 
0 0 * * 0 * * 1879.900024 1022.799988 3348.399902 * * * * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * 0 0 0 * * 0 0 0 0 0 0 0 * * * * 
* 0 * * 0 0 * * * 0 0 0 * 0 * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * * * * * * 
* * 0 * * * * * * * * 0 * 0 * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * 0 0 0 * * * * * * * 
* * 0 0 0 0 * * * * * * 0 * 0 * * 0 1417.800049 1334.599976 1364.800049 1428.099976 1351.400024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * * * * * * * * 
* * * 0 0 * * * * * * * * * * * 0 0 0 1365.5 1574.099976 1070 1019.099976 0 * 0 0 0 0 0 0 0 0 0 0 0 0 * * * * * * * * * 
* * * * * 0 0 0 * * * * * * * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * * * * * * * * * * * 
* * * * * * * * * * 0 * * * * * * * * 0 0 0 0 0 0 0 0 0 * 0 0 0 0 0 * * * * * * * * * * * * 
* * * * * * * * * * * * * 0 * * * * * 0 0 0 0 * * * * * * * * * * 0 * * * * * * * * * * * * 
* * * * * * * * * 0 * 0 * 0 0 * * * 0 0 0 * * * * * * * * * * * * 0 0 * * * * * * * * * * * 
