north: 49N
south: 26N
east: 66W
west: 124W
rows: 12
cols: 46
* 2085.8571428571426623 * 2367.1428571428573377 * 1744.095238095238301 * * * 1632.904761904761699 4739.9047619047623812 * 7185.5714285714284415 * 10371.0952380952385283 10371.0952380952385283 10774.9523809523798263 10819.571428571427532 7866.9523809523807358 7866.9523809523807358 6678.4761904761908227 5383.571428571429351 6433.0476190476192642 * * * * * * * * * * * * * * * * * * * * 9884.428571428570649 * * 
* * * 1949.0952380952378462 1582.9047619047621538 1472.5714285714286689 * * * * * * 8803.7619047619064077 * * 13066.428571428570649 12621.2380952380935923 * 9712.3333333333339397 9748.142857142856883 8451.857142857143117 8723.0476190476219926 * * 7119.1428571428577925 * * * * * * * * * * * * * * * * 11325.7619047619027697 11108.285714285715585 * 11323.57142857143117 * 
* * * * * * * * * * * * * * * * 12995.571428571425713 12995.571428571427532 11192.285714285715585 11537 9989.9047619047632907 9989.9047619047632907 8297.285714285717404 8297.285714285715585 7614.1904761904761472 7592.3333333333330302 * * 8157.9047619047623812 * * * * * 10453 10299.428571428570649 10575.4761904761926417 10664.3809523809504753 * * * * * * * * 
* * * * * * * 1192 1485.0952380952378462 * * * * * * * 13238 * * * 10383 10522.714285714286234 9721.7619047619027697 9721.7619047619027697 9641.8095238095247623 9641.8095238095247623 9299 9346.2380952380954113 9698.3333333333339397 * 9551.9047619047614717 * 9792.571428571429351 * * 10150.6666666666660603 10101.285714285717404 10101.285714285715585 9772.8095238095247623 * * * * * * * 
* 2336.6666666666665151 * * * * * * * * * * * * * 2497.2857142857142208 12268.714285714284415 12268.714285714284415 13151.0952380952385283 13151.0952380952385283 10990.857142857143117 10990.857142857143117 11372.6190476190477057 11372.6190476190477057 10726.2380952380935923 10726.2380952380935923 10111.7619047619064077 10111.7619047619064077 10495.0952380952385283 10445.4761904761908227 10903.0476190476201737 10903.0476190476201737 11219.6666666666660603 11315.6666666666660603 13013.3333333333321207 * * 12372.142857142855064 * 9663.571428571427532 * * * * * * 
* * * * * * * * * * * * * * * * 12178.6190476190477057 12438.8095238095265813 13868.571428571425713 13868.571428571427532 9952.857142857143117 9853.0952380952385283 12275.3333333333357587 12275.3333333333339397 11676.3333333333339397 11676.3333333333339397 9827.9523809523816453 9827.9523809523816453 10001.4761904761890037 10001.4761904761890037 * 10995.8095238095211243 * * * * 12897.1904761904752377 12897.1904761904752377 10745.0476190476165357 * * * * * * * 
* * * 3750.2380952380954113 * * * * * * * * * * * * * * 13839.142857142856883 12445.7619047619027697 9603.285714285715585 9603.285714285715585 * * * * 9547.714285714286234 9572.857142857143117 * 9468.857142857143117 * * * * 12220.8095238095247623 12220.8095238095247623 * 12327.428571428572468 * * * * * * * * 
* * * * 2752.3333333333334849 * * * * * * * * * * * 12662.3809523809504753 * 11771.5238095238091773 11771.5238095238091773 12109.2380952380972303 11341.4761904761908227 * * * 11946.3809523809522943 10074.142857142856883 10074.142857142856883 * 10449.0952380952385283 10543.142857142855064 * 11179.3809523809541133 * * 11010.2380952380972303 10979.3809523809522943 * * * * * * * * * 
* * * * * * 2113.1428571428573377 * * * * * * * * * * 5694 10908.8095238095247623 * * * * * * 10926.0952380952385283 10461.3809523809522943 * * * * * * 9777.0476190476183547 * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * 12357.6666666666660603 * * * 9301.3333333333339397 7644.7619047619054982 * * * 6653.0952380952394378 6653.0952380952394378 * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * 11282.428571428574287 * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
