north: 49N
south: 26N
east: 66W
west: 124W
rows: 12
cols: 46
* 2571.7576831805472466 * 957.0098311189135529 * 360.4998163293390689 * * * 739.408019989723698 633.2322565937013223 * 1166.3620446845150127 * 1631.1547297158510901 1709.5268779623377213 1624.6182361265418876 1649.2000327849896166 1409.1385076915544232 1398.0288727796346393 1325.991654586669938 1060.9886687986518155 1462.857328560716951 * * * * * * * * * * * * * * * * * * * * 2817.7142857142857792 * * 
* * * 3255.4877527235876187 762.4961777860029315 370.8059078497643668 * * * * * * 1474.9377787947680645 * * 2257.0290010328635617 2232.5614120627183183 * 1610.4285714285713311 1677.8571428571428896 1624.2474277471160349 1645.6145740227375427 * * 1828.0219244045144933 * * * * * * * * * * * * * * * * 2609.1428571428573377 2544.8571428571426623 * 2340.4871082537270013 * 
* * * * * * * * * * * * * * * * 2758.6236598080736258 2778.2274262260880278 2566.2857142857142208 2933.6611970913136247 2180.4890546328297205 2178.9340882095320922 1889.5053345499538864 1891.9260839447076705 1959.8346142627747213 1919.9633197040780033 * * 1674.6193134852096591 * * * * * 2038.9084214905187764 2034.2425642209602756 2064.3518827029351996 2047.2857142857142208 * * * * * * * * 
* * * * * * * 1130.0838969743938378 1076.5321015500064732 * * * * * * * 1865.8059353537096285 * * * 2355.081586377752501 2296.7955913249525111 2444.0957179324423123 2444.1428571428573377 2171.5714285714284415 2171.7049359967909368 2043.0477668990076836 2156.3597197975500421 2198.4233624064545438 * 2222.0345948475051046 * 2207.5714285714284415 * * 2360.7112907434175213 2614.118663851508245 2603.0705761799172251 2536.9487108611097028 * * * * * * * 
* 2608.103600803010977 * * * * * * * * * * * * * 1570.1328917951177573 1879.0036349540546325 1925.1789501172108885 2296.3116324463721867 1893.7824994277341375 2525.321501315230762 2508.9091537479766885 2515.8000705335493876 2523.0144458585341454 3289.9044407235815015 3288.6796333126494574 2748.5014726094354955 2770.2858924155821114 2668.566927277922332 2519.9327352450959552 2377.2987838194844699 2376.0734610554859501 2394.914448747293136 2466.511375483417396 2457.5267754422079634 * * 2697.680675947090549 * 2316.4556922382435005 * * * * * * 
* * * * * * * * * * * * * * * * 1892.2967682970238457 2139.3300636046965337 2418.0183104154202738 2420.2828508069696909 1998.1429245143253866 1985.7778488905000813 2399.2442874854214097 2399.0488291841211321 2474.5894267852190751 2485.9891384264028602 2022.9318618334852999 1995.7637073013966074 2063.427520450258271 2064.1725580668066868 * 2494.055516730465115 * * * * 2624.9108751216435849 2627.5329259764512244 2367.9275664781494015 * * * * * * * 
* * * 4077.5655285314046523 * * * * * * * * * * * * * * 2894.5627958337281598 2503.842105260649987 1714.0169574665299024 1724.6459584738283866 * * * * 2360.1912846243931199 2367.082454842642619 * 2229.8101035040631359 * * * * 2236.0467809877823129 2241.0006729231145073 * 2542.012018758423892 * * * * * * * * 
* * * * 2865.8663930459906624 * * * * * * * * * * * 1952.1065622674273072 * 2443.8970769044040026 2480.6484215667737772 2761.4358707558094466 2358.0417525313796432 * * * 3734.3208076329883625 3633.4541877112092152 3453.4503281140005129 * 3508.82614270520844 3590.1122363995536944 * 2343.7683984093673644 * * 2353.4666541959209098 1946.2878642485356977 * * * * * * * * * 
* * * * * * 1143.4041630444301063 * * * * * * * * * * 1478.1671521188018232 2199.8881983383303123 * * * * * * 3314.5094790859629938 3054.1854081549522562 * * * * * * 3070.0846910656005093 * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * 3184.9361060875794465 * * * 2624.7501444466606699 2478.1577875893699456 * * * 2470.4210555059439685 2481.8195579219595857 * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * 2922.8681411246507196 * * * * * * * * * * * * * * * * * * * * * * * * 
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 
