north: 49N
south: 26N
east: 66W
west: 124W
rows: 12
cols: 46
0 2090.899902 * 1700 1000 1866.699951 * 388.899994 * 0 857.099976 * 500 * 918.900024 888.900024 1492.300049 1835.800049 1780.099976 1753.699951 1773.699951 1647.699951 1823.5 * 1750 * * * * * * * * * * 0 * * * * * * * 2582.800049 * 0 
2000 * * 2000 2903.800049 851.900024 428.600006 * * * 0 0 0 0 * 0 1734.199951 0 0 0 0 0 0 0 1600 0 0 0 0 * 0 0 * * * 0 * * * * 0 0 1383 * 0 0 
1000 * 0 * * 0 0 0 0 * * * * * * 0 0 0 0 0 0 0 1750 1684.199951 1700 0 0 0 0 * 0 0 * * 2715.699951 3051.100098 0 0 0 * * 0 0 0 * * 
0 0 * * 0 * * 1818.199951 1015.400024 0 * * * * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * 0 0 0 * * 0 0 0 0 0 0 0 * * * * 
* 0 * * 0 0 * * * 0 0 0 * 0 * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * * * * * * 
* * 0 * * * * * * * * 0 * 0 * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * 0 0 0 * * * * * * * 
* * 0 0 0 0 * * * * * * 0 * 0 * * 0 1418.900024 1312.5 1371 1409.099976 1357.099976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * * * * * * * * 
* * * 0 0 * * * * * * * * * * * 0 0 0 1362.5 1573.800049 1070.699951 1017.5 0 * 0 0 0 0 0 0 0 0 0 0 0 0 * * * * * * * * * 
* * * * * 0 0 0 * * * * * * * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 * * * * * * * * * * * 
* * * * * * * * * * 0 * * * * * * * * 0 0 0 0 0 0 0 0 0 * 0 0 0 0 0 * * * * * * * * * * * * 
* * * * * * * * * * * * * 0 * * * * * 0 0 0 0 * * * * * * * * * * 0 * * * * * * * * * * * * 
* * * * * * * * * 0 * 0 * 0 0 * * * 0 0 0 * * * * * * * * * * * * 0 0 * * * * * * * * * * * 
