SNX_filename,manual_harvest_binary,two_letter_crop_code,details,m_group_info,crop_specific_planting_details,harvest_date_if_potatoes_otherwise_n99,photo_L_if_soybean_C_otherwise,A_if_automatic_planting_R_otherwise,A_if_irrigated_N_otherwise,D_if_potatoes_M_otherwise,irrigation_depth,irrigation_threshold
cnINVIGOR5440IR,0,CN,canola/rapeseed INVIGOR5440 irrigated CA0001 Invigor5440,CA0001 Invigor5440,    80    80     S     R    17     0     2   -99   -99   -99   -99   -99,-99,L,F,A,M,20,70
cnINVIGOR5440RF,0,CN,canola/rapeseed INVIGOR5440 rainfed CA0001 Invigor5440,CA0001 Invigor5440,    80    80     S     R    17     0     2   -99   -99   -99   -99   -99,-99,L,F,N,M,20,70
mzDEKALBXL71IR,0,MZ,maize DEKALBXL71 irrigated IB0009 DEKALB XL71,IB0009 DEKALB XL71,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzDEKALBXL71RF,0,MZ,maize DEKALBXL71 rainfed IB0009 DEKALB XL71,IB0009 DEKALB XL71,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzGARST8808IR,0,MZ,maize GARST8808 irrigated IB0041 Garst 8808,IB0041 Garst 8808,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzGARST8808RF,0,MZ,maize GARST8808 rainfed IB0041 Garst 8808,IB0041 Garst 8808,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK013IR,0,MZ,maize K013 irrigated CYMA01 WH403,CYMA01 WH403,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK013RF,0,MZ,maize K013 rainfed CYMA01 WH403,CYMA01 WH403,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK014IR,0,MZ,maize K014 irrigated CYMA02 ZM521,CYMA02 ZM521,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK014RF,0,MZ,maize K014 rainfed CYMA02 ZM521,CYMA02 ZM521,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK015IR,0,MZ,maize K015 irrigated CYMA03 BH660,CYMA03 BH660,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK015RF,0,MZ,maize K015 rainfed CYMA03 BH660,CYMA03 BH660,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK016IR,0,MZ,maize K016 irrigated CYMA04 SC513,CYMA04 SC513,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK016RF,0,MZ,maize K016 rainfed CYMA04 SC513,CYMA04 SC513,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK017IR,0,MZ,maize K017 irrigated CYMA05 SC403,CYMA05 SC403,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK017RF,0,MZ,maize K017 rainfed CYMA05 SC403,CYMA05 SC403,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK018IR,0,MZ,maize K018 irrigated CYMA06 PIO 30F32,CYMA06 PIO 30F32,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK018RF,0,MZ,maize K018 rainfed CYMA06 PIO 30F32,CYMA06 PIO 30F32,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK021IR,0,MZ,maize K021 irrigated IB0026 A632 x W117,IB0026 A632 x W117,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK021RF,0,MZ,maize K021 rainfed IB0026 A632 x W117,IB0026 A632 x W117,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK023IR,0,MZ,maize K023 irrigated CT0001 CF1505,CT0001 CF1505,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK023RF,0,MZ,maize K023 rainfed CT0001 CF1505,CT0001 CF1505,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK024IR,0,MZ,maize K024 irrigated CT0002 PIO 31R88,CT0002 PIO 31R88,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK024RF,0,MZ,maize K024 rainfed CT0002 PIO 31R88,CT0002 PIO 31R88,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK025IR,0,MZ,maize K025 irrigated CT0003 Suwan 3851,CT0003 Suwan 3851,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK025RF,0,MZ,maize K025 rainfed CT0003 Suwan 3851,CT0003 Suwan 3851,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK026IR,0,MZ,maize K026 irrigated CT0004 DEKALB XL82,CT0004 DEKALB XL82,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK026RF,0,MZ,maize K026 rainfed CT0004 DEKALB XL82,CT0004 DEKALB XL82,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK027IR,0,MZ,maize K027 irrigated IB0035 McCurdy 84aa,IB0035 McCurdy 84aa,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK027RF,0,MZ,maize K027 rainfed IB0035 McCurdy 84aa,IB0035 McCurdy 84aa,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzK029IR,0,MZ,maize K029 irrigated IB0185 JACKSON HYBRI,IB0185 JACKSON HYBRI,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzK029RF,0,MZ,maize K029 rainfed IB0185 JACKSON HYBRI,IB0185 JACKSON HYBRI,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzMCCURDY84AAIR,0,MZ,maize MCCURDY84AA irrigated IB0035 McCurdy 84aa,IB0035 McCurdy 84aa,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzMCCURDY84AARF,0,MZ,maize MCCURDY84AA rainfed IB0035 McCurdy 84aa,IB0035 McCurdy 84aa,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzPIO31G98IR,0,MZ,maize PIO31G98 irrigated IB0071 PIO 31G98,IB0071 PIO 31G98,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzPIO31G98RF,0,MZ,maize PIO31G98 rainfed IB0071 PIO 31G98,IB0071 PIO 31G98,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
mzPIO3489IR,0,MZ,maize PIO3489 irrigated IB1066 PIO 3489,IB1066 PIO 3489,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,A,M,20,70
mzPIO3489RF,0,MZ,maize PIO3489 rainfed IB1066 PIO 3489,IB1066 PIO 3489,   5.3   5.3     S     R    75     0     3   -99   -99   -99   -99   -99,-99,C,F,N,M,20,70
ptATLANTICIR,1,PT,potato ATLANTIC irrigated IB0005 ATLANTIC,IB0005 ATLANTIC,   5.7   5.7     S     R    70     0     6  1000   -99   -99   -99     1,110,C,F,A,D,20,70
ptATLANTICRF,1,PT,potato ATLANTIC rainfed IB0005 ATLANTIC,IB0005 ATLANTIC,   5.7   5.7     S     R    70     0     6  1000   -99   -99   -99     1,110,C,F,N,D,20,70
ptH001IR,1,PT,potato H001 irrigated RUBY01 Russet Bur [145],RUBY01 Russet Bur [145],   4.8   4.8     S     R    71     0    06   960   -99   -99   -99    02,145,C,R,A,D,30,40
ptH001RF,1,PT,potato H001 rainfed RUBY01 Russet Bur [145],RUBY01 Russet Bur [145],   4.8   4.8     S     R    71     0    06   960   -99   -99   -99    02,145,C,R,N,D,30,40
ptH002IR,1,PT,potato H002 irrigated RUBY02 Bintje     [150],RUBY02 Bintje     [150],   4.0   4.0     S     R    75     0    06   960   -99   -99   -99    02,150,C,R,A,D,30,40
ptH002RF,1,PT,potato H002 rainfed RUBY02 Bintje     [150],RUBY02 Bintje     [150],   4.0   4.0     S     R    75     0    06   960   -99   -99   -99    02,150,C,R,N,D,30,40
ptH003IR,1,PT,potato H003 irrigated RUBY03 LT1        [115],RUBY03 LT1        [115],   4.8   4.8     S     R    71     0    06  1000   -99   -99   -99    02,115,C,R,A,D,30,40
ptH003RF,1,PT,potato H003 rainfed RUBY03 LT1        [115],RUBY03 LT1        [115],   4.8   4.8     S     R    71     0    06  1000   -99   -99   -99    02,115,C,R,N,D,30,40
ptH004IR,1,PT,potato H004 irrigated RUBY04 Kufri Bahar[113],RUBY04 Kufri Bahar[113],   7.0   7.0     S     R    70     0    06  1000   -99   -99   -99    02,113,C,R,A,D,30,40
ptH004RF,1,PT,potato H004 rainfed RUBY04 Kufri Bahar[113],RUBY04 Kufri Bahar[113],   7.0   7.0     S     R    70     0    06  1000   -99   -99   -99    02,113,C,R,N,D,30,40
ptH005IR,1,PT,potato H005 irrigated RUBY05 Yungay     [118],RUBY05 Yungay     [118],  3.33  3.33     S     R   100     0    06  1000   -99   -99   -99    02,150,C,R,A,D,30,40
ptH005RF,1,PT,potato H005 rainfed RUBY05 Yungay     [118],RUBY05 Yungay     [118],  3.33  3.33     S     R   100     0    06  1000   -99   -99   -99    02,150,C,R,N,D,30,40
ptH006IR,1,PT,potato H006 irrigated RUBY06 Desiree    [ 90],RUBY06 Desiree    [ 90],   4.8   4.8     S     R    70     0    06  1000   -99   -99   -99    02,100,C,R,A,D,30,40
ptH006RF,1,PT,potato H006 rainfed RUBY06 Desiree    [ 90],RUBY06 Desiree    [ 90],   4.8   4.8     S     R    70     0    06  1000   -99   -99   -99    02,100,C,R,N,D,30,40
ptH007IR,1,PT,potato H007 irrigated RUBY07 Amarilis   [118],RUBY07 Amarilis   [118],  3.33  3.33     S     R   100     0    06  1000   -99   -99   -99    02,150,C,R,A,D,30,40
ptH007RF,1,PT,potato H007 rainfed RUBY07 Amarilis   [118],RUBY07 Amarilis   [118],  3.33  3.33     S     R   100     0    06  1000   -99   -99   -99    02,150,C,R,N,D,30,40
ptH008IR,1,PT,potato H008 irrigated RUBY08 Achirana   [ 90],RUBY08 Achirana   [ 90],   3.3   3.3     S     R    70     0    06  1000   -99   -99   -99    02,110,C,R,A,D,30,40
ptH008RF,1,PT,potato H008 rainfed RUBY08 Achirana   [ 90],RUBY08 Achirana   [ 90],   3.3   3.3     S     R    70     0    06  1000   -99   -99   -99    02,110,C,R,N,D,30,40
ptRUSSETBURBANKIR,1,PT,potato RUSSETBURBANK irrigated IB0003 Russet Burbank,IB0003 Russet Burbank,   5.7   5.7     S     R    70     0     6  1000   -99   -99   -99     1,110,C,R,A,D,20,70
ptRUSSETBURBANKRF,1,PT,potato RUSSETBURBANK rainfed IB0003 Russet Burbank,IB0003 Russet Burbank,   5.7   5.7     S     R    70     0     6  1000   -99   -99   -99     1,110,C,R,N,D,20,70
ptSEBAGOIR,1,PT,potato SEBAGO irrigated IB0002 SEBAGO,IB0002 SEBAGO,   5.7   5.7     S     R    70     0     6  1000   -99   -99   -99     1,110,C,R,A,D,20,70
ptSEBAGORF,1,PT,potato SEBAGO rainfed IB0002 SEBAGO,IB0002 SEBAGO,   5.7   5.7     S     R    70     0     6  1000   -99   -99   -99     1,110,C,R,N,D,20,70
riK001IR,0,RI,rice K001 irrigated IB0118 IR 72,IB0118 IR 72,    30    30     T     R    20     0     5   -99    25    25     3   -99,-99,C,R,A,M,20,70
riK001RF,0,RI,rice K001 rainfed IB0118 IR 72,IB0118 IR 72,    30    30     T     R    20     0     5   -99    25    25     3   -99,-99,C,R,N,M,20,70
riK002IR,0,RI,rice K002 irrigated 990003 JAPANESE,990003 JAPANESE,    30    30     T     R    20     0     5   -99    25    25     3   -99,-99,C,R,A,M,20,70
riK002RF,0,RI,rice K002 rainfed 990003 JAPANESE,990003 JAPANESE,    30    30     T     R    20     0     5   -99    25    25     3   -99,-99,C,R,N,M,20,70
sbMGROUP11IR,0,SB,soybean maturity group 11 irrigated 990011 M GROUP  11,990011 M GROUP  11,    25    25     S     R    40     0     4   -99   -99   -99   -99   -99,-99,L,F,A,M,20,70
sbMGROUP11RF,0,SB,soybean maturity group 11 rainfed 990011 M GROUP  11,990011 M GROUP  11,    25    25     S     R    40     0     4   -99   -99   -99   -99   -99,-99,L,F,N,M,20,70
