cat,ObjectID,FIPS_CNTRY,GMI_CNTRY,ISO_2DIGIT,ISO_3DIGIT,ISO_NUM,CNTRY_NAME,LONG_NAME,ISOSHRTNAM,UNSHRTNAM,LOCSHRTNAM,LOCLNGNAM,STATUS,POP_CNTRY,SQKM,SQMI,COLORMAP
1,0,FK,FLK,FK,FLK,238,Falkland Is.,Falkland Islands (Islas Malvinas),Falkland Islands (Malvinas),Falkland Islands (Malvinas),,,Non-Self-Governing Territory of the UK,2136,10216.8,3944.71,1
1,0,FK,FLK,FK,FLK,238,Falkland Is.,Falkland Islands (Islas Malvinas),Falkland Islands (Malvinas),Falkland Islands (Malvinas),,,Non-Self-Governing Territory of the UK,2136,10216.8,3944.71,1
1,0,FK,FLK,FK,FLK,238,Falkland Is.,Falkland Islands (Islas Malvinas),Falkland Islands (Malvinas),Falkland Islands (Malvinas),,,Non-Self-Governing Territory of the UK,2136,10216.8,3944.71,1
1,0,FK,FLK,FK,FLK,238,Falkland Is.,Falkland Islands (Islas Malvinas),Falkland Islands (Malvinas),Falkland Islands (Malvinas),,,Non-Self-Governing Territory of the UK,2136,10216.8,3944.71,1
1,0,FK,FLK,FK,FLK,238,Falkland Is.,Falkland Islands (Islas Malvinas),Falkland Islands (Malvinas),Falkland Islands (Malvinas),,,Non-Self-Governing Territory of the UK,2136,10216.8,3944.71,1
4,3,PC,PCN,PN,PCN,612,Pitcairn Is.,"Pitcairn, Henderson, Ducie, and Oeno Isl",Pitcairn,Pitcairn Island,,,Non-Self-Governing Territory of the UK,56,27.69,10.69,8
4,3,PC,PCN,PN,PCN,612,Pitcairn Is.,"Pitcairn, Henderson, Ducie, and Oeno Isl",Pitcairn,Pitcairn Island,,,Non-Self-Governing Territory of the UK,56,27.69,10.69,8
5,4,SX,SGS,GS,SGS,239,South Georgia & the South Sandwich Is.,South Georgia and the South Sandwich Is,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,,,UK Territory,-99999,3415.88,1318.88,5
5,4,SX,SGS,GS,SGS,239,South Georgia & the South Sandwich Is.,South Georgia and the South Sandwich Is,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,,,UK Territory,-99999,3415.88,1318.88,5
6,5,SH,SHN,SH,SHN,654,St. Helena,St. Helena,Saint Helena,Saint Helena,,,Non-Self-Governing Territory of the UK,6782,89.04,34.38,1
8,7,TD,TTO,TT,TTO,780,Trinidad & Tobago,Republic of Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,,,UN Member State,1292000,4421.14,1707,1
8,7,TD,TTO,TT,TTO,780,Trinidad & Tobago,Republic of Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,,,UN Member State,1292000,4421.14,1707,1
9,8,VE,VEN,VE,VEN,862,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Venezuela,Venezuela,Republica Bolivariana de Venezuela,UN Member State,19857850,913485.18,352696.63,7
9,8,VE,VEN,VE,VEN,862,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Venezuela,Venezuela,Republica Bolivariana de Venezuela,UN Member State,19857850,913485.18,352696.63,7
9,8,VE,VEN,VE,VEN,862,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Venezuela,Venezuela,Republica Bolivariana de Venezuela,UN Member State,19857850,913485.18,352696.63,7
9,8,VE,VEN,VE,VEN,862,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Venezuela,Venezuela,Republica Bolivariana de Venezuela,UN Member State,19857850,913485.18,352696.63,7
9,8,VE,VEN,VE,VEN,862,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Venezuela,Venezuela,Republica Bolivariana de Venezuela,UN Member State,19857850,913485.18,352696.63,7
9,8,VE,VEN,VE,VEN,862,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Venezuela,Venezuela,Republica Bolivariana de Venezuela,UN Member State,19857850,913485.18,352696.63,7
9,8,VE,VEN,VE,VEN,862,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Venezuela,Venezuela,Republica Bolivariana de Venezuela,UN Member State,19857850,913485.18,352696.63,7
9,8,VE,VEN,VE,VEN,862,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Venezuela,Venezuela,Republica Bolivariana de Venezuela,UN Member State,19857850,913485.18,352696.63,7
9,8,VE,VEN,VE,VEN,862,Venezuela,Bolivarian Republic of Venezuela,Venezuela,Venezuela,Venezuela,Republica Bolivariana de Venezuela,UN Member State,19857850,913485.18,352696.63,7
10,9,AQ,ASM,AS,ASM,16,American Samoa,Territory of American Samoa,American Samoa,American Samoa,,,Non-Self-Governing Territory of the USA,53000,84.2,32.5,2
11,10,CW,COK,CK,COK,184,Cook Is.,Cook Islands,Cook Islands,Cook Islands,,,Self-Governing in free association with New Zealand,17000,55.29,21.35,6
11,10,CW,COK,CK,COK,184,Cook Is.,Cook Islands,Cook Islands,Cook Islands,,,Self-Governing in free association with New Zealand,17000,55.29,21.35,6
11,10,CW,COK,CK,COK,184,Cook Is.,Cook Islands,Cook Islands,Cook Islands,,,Self-Governing in free association with New Zealand,17000,55.29,21.35,6
11,10,CW,COK,CK,COK,184,Cook Is.,Cook Islands,Cook Islands,Cook Islands,,,Self-Governing in free association with New Zealand,17000,55.29,21.35,6
11,10,CW,COK,CK,COK,184,Cook Is.,Cook Islands,Cook Islands,Cook Islands,,,Self-Governing in free association with New Zealand,17000,55.29,21.35,6
11,10,CW,COK,CK,COK,184,Cook Is.,Cook Islands,Cook Islands,Cook Islands,,,Self-Governing in free association with New Zealand,17000,55.29,21.35,6
12,11,FP,PYF,PF,PYF,258,French Polynesia,Territory of French Polynesia,French Polynesia,French Polynesia,Polynesie Francaise,Territoire de la Polynesie Francaise,Oversea Department of France,217000,909.84,351.29,4
12,11,FP,PYF,PF,PYF,258,French Polynesia,Territory of French Polynesia,French Polynesia,French Polynesia,Polynesie Francaise,Territoire de la Polynesie Francaise,Oversea Department of France,217000,909.84,351.29,4
12,11,FP,PYF,PF,PYF,258,French Polynesia,Territory of French Polynesia,French Polynesia,French Polynesia,Polynesie Francaise,Territoire de la Polynesie Francaise,Oversea Department of France,217000,909.84,351.29,4
12,11,FP,PYF,PF,PYF,258,French Polynesia,Territory of French Polynesia,French Polynesia,French Polynesia,Polynesie Francaise,Territoire de la Polynesie Francaise,Oversea Department of France,217000,909.84,351.29,4
12,11,FP,PYF,PF,PYF,258,French Polynesia,Territory of French Polynesia,French Polynesia,French Polynesia,Polynesie Francaise,Territoire de la Polynesie Francaise,Oversea Department of France,217000,909.84,351.29,4
13,12,DQ,UMI,UM,,581,Jarvis I.,Jarvis Island,United States Minor Outlying Islands,Jarvis Island,,,US Territory,-99999,3.62,1.39,3
14,13,NE,NIU,NU,NIU,570,Niue,Niue,Niue,Niue,,,Self-Governing Territory in free association with NZ,2000,179.81,69.42,2
15,14,WS,WSM,WS,WSM,882,Samoa,Independent State of Samoa,Samoa,Samoa,,,UN Member State,159000,2022.66,780.95,8
15,14,WS,WSM,WS,WSM,882,Samoa,Independent State of Samoa,Samoa,Samoa,,,UN Member State,159000,2022.66,780.95,8
16,15,TL,TKL,TK,TKL,772,Tokelau,Tokelau,Tokelau,Tokelau,,,Non-Self-Governing Territory of New Zealand,1600,4.79,1.85,5
17,16,TN,TON,TO,TON,776,Tonga,Kingdom of Tonga,Tonga,Tonga,,,UN Member State,98000,255.5,98.65,6
17,16,TN,TON,TO,TON,776,Tonga,Kingdom of Tonga,Tonga,Tonga,,,UN Member State,98000,255.5,98.65,6
18,17,WF,WLF,WF,WLF,876,Wallis & Futuna,Territory of the Wallis and Futuna Islan,Wallis and Futuna,Wallis and Futuna,Wallis et Futuna,Territoire des Iles Wallis et Futuna,Oversea Territory of France,14000,55.2,21.3,5
18,17,WF,WLF,WF,WLF,876,Wallis & Futuna,Territory of the Wallis and Futuna Islan,Wallis and Futuna,Wallis and Futuna,Wallis et Futuna,Territoire des Iles Wallis et Futuna,Oversea Territory of France,14000,55.2,21.3,5
19,18,AR,ARG,AR,ARG,32,Argentina,Argentine Republic,Argentina,Argentina,Argentina,Republica Argentina,UN Member State,33796870,2776912.75,1072166.12,8
19,18,AR,ARG,AR,ARG,32,Argentina,Argentine Republic,Argentina,Argentina,Argentina,Republica Argentina,UN Member State,33796870,2776912.75,1072166.12,8
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
21,20,BR,BRA,BR,BRA,76,Brazil,Federative Republic of Brazil,Brazil,Brazil,Brasil,Republica Federativa do Brasil,UN Member State,151525400,8493132,3279198.25,6
