snx_name,co2_level,crop_name,weather_prefix,weather_folder,results_folder,run_descriptor,nitrogen,region_to_use_n,region_to_use_s,region_to_use_e,region_to_use_w,nsres,ewres,crop_area_raster,fertilizer_scheme
sbMGROUP1RF,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_rainfed_cropland,soybeans
sbMGROUP3RF,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_rainfed_cropland,soybeans
sbMGROUP5RF,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_rainfed_cropland,soybeans
sbMGROUP7RF,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_rainfed_cropland,soybeans
sbMGROUP9RF,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_rainfed_cropland,soybeans
sbMGROUP11RF,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_rainfed_cropland,soybeans
sbMGROUP13RF,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_rainfed_cropland,soybeans
sbMGROUP15RF,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_rainfed_cropland,soybeans
sbMGROUP1IR,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_irrigated_cropland,soybeans
sbMGROUP3IR,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_irrigated_cropland,soybeans
sbMGROUP5IR,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_irrigated_cropland,soybeans
sbMGROUP7IR,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_irrigated_cropland,soybeans
sbMGROUP9IR,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_irrigated_cropland,soybeans
sbMGROUP11IR,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_irrigated_cropland,soybeans
sbMGROUP13IR,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_irrigated_cropland,soybeans
sbMGROUP15IR,379,soybean,Outdoor_crops_control,control_mink,wth_control,Feb8AUS150tg,250,-44.0625,-8.4375,158.125,104.375,1.875,1.25,ALL_CROPS_irrigated_cropland,soybeans
