snx_name,co2_level,crop_name,weather_prefix,weather_folder,results_folder,run_descriptor,region_to_use_n,region_to_use_s,region_to_use_e,region_to_use_w,nsres,ewres,crop_area_raster
mzGARST8808RF,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_rainfed_cropland
mzDEKALBXL71RF,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_rainfed_cropland
mzMCCURDY84AARF,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_rainfed_cropland
mzPIO31G98RF,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_rainfed_cropland
mzPIO3489RF,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_rainfed_cropland
mzGARST8808IR,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_irrigated_cropland
mzDEKALBXL71IR,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_irrigated_cropland
mzMCCURDY84AAIR,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_irrigated_cropland
mzPIO31G98IR,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_irrigated_cropland
mzPIO3489IR,379,maize,Outdoor_crops_catastrophe,catastrophe_mink,wth_catastrophe,eitherN250_nonCLIMATE,49,26,-66,-124,1.875,1.25,MAIZ_irrigated_cropland
