snx_name,co2_level,crop_name,weather_prefix,weather_folder,results_folder,run_descriptor,nitrogen,region_to_use_n,region_to_use_s,region_to_use_e,region_to_use_w,nsres,ewres,mask_for_this_snx,fertilizer_scheme
whK013RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK013RF,winterwheat
whK013IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK013IR,winterwheat
whK016RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK016RF,winterwheat
whK016IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK016IR,winterwheat
whK015RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK015RF,winterwheat
whK015IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK015IR,winterwheat
whK010RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK010RF,winterwheat
whK010IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK010IR,winterwheat
whK076RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK076RF,winterwheat
whK076IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK076IR,winterwheat
whK012RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK012RF,winterwheat
whK012IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK012IR,winterwheat
whK011RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK011RF,winterwheat
whK011IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK011IR,winterwheat
whK007RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK007RF,winterwheat
whK007IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK007IR,winterwheat
whK006RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK006RF,winterwheat
whK006IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK006IR,winterwheat
whK009RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK009RF,winterwheat
whK009IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK009IR,winterwheat
whK002RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK002RF,winterwheat
whK002IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK002IR,winterwheat
whK001RF,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK001RF,winterwheat
whK001IR,379,wheat,Outdoor_crops_control,control_mink,wth_control,Jun15AUSmasktest,250,-8.4375,-44.0625,158.125,104.375,1.875,1.25,mask_for_whK001IR,winterwheat
