iso_a3,Country,pop_est,WHEA_y1,WHEA_y2,WHEA_y3,WHEA_y4,WHEA_y5,WHEA_y6,WHEA_y7,MAIZ_y1,MAIZ_y2,MAIZ_y3,MAIZ_y4,MAIZ_y5,MAIZ_y6,MAIZ_y7
TZA,Tanzania,58005463.0,160.05315936725106,76.02731146666272,-100.01902206977124,-100.06793127848597,-100.0718198962963,-100.08018730723325,-100.05622091835123,101.3618677900656,169.57048809197823,-98.53152884733719,-33.98119106849934,-46.66856131345953,-43.634500803193276,-99.98233828498033
ESH,W. Sahara,603253.0,22.768232772865744,45.19600281061918,-88.22876328398998,-99.72713055099935,-99.6732904014155,-99.10030650256033,-99.0453645989342,73.94912622642114,72.92917877010129,-96.7574521524211,-63.17284325578979,-64.66376204644791,-69.35788904324978,-78.07901394552084
CAN,Canada,37589262.0,-94.98502066232471,-86.80116294791526,-99.898602457491,-100.02633229001484,-100.02226726890487,-100.02222049781618,-100.02420432918197,-95.01943630289405,-90.65833094026408,-97.62669462827469,-98.59720068623358,-98.43807314876084,-99.6240788096735,-79.79581564241553
USA,United States of America,328239523.0,-1.6461676643640524,-32.52395656404713,-62.45157942676155,-100.03256617292018,-100.02021638372483,-100.03324212691749,-100.03583325386415,-9.82169953245916,-23.414002514441272,-67.93610586936529,-78.3505822543793,-73.79150694282292,-60.20343287548049,-93.36673189599213
KAZ,Kazakhstan,18513930.0,1.899327553272244,8.807888111246678,-23.439773743678952,2.757575471552335,-41.1871112192751,-58.851130013417816,-50.902452416333446,-80.54400090218411,-81.16272248803085,24.662338738614046,-86.8038126602373,-96.10018105470215,-89.7601110701588,-56.73448734771412
UZB,Uzbekistan,33580650.0,-3.6843799611065977,-3.3364690376160078,-63.622331193864056,-60.97737612995674,-57.00852301075401,-37.4024619699489,-26.30030538646765,11.213048754389208,-2.939521908553261,-27.570352209348037,-83.71431548234995,-97.24540945651607,-97.16054047999584,-64.85643972280825
PNG,Papua New Guinea,8776109.0,-48.76569154813498,-61.39677649330797,-53.88416300758204,-85.54899284027697,-63.53264845762726,-62.150192601842726,-57.114718735303605,396.1190804659147,388.47203873440884,-11.70343286871132,-94.02655754352442,-90.15513627971215,-29.884175622376176,-83.6253773793216
IDN,Indonesia,270625568.0,-37.43048818901132,-27.025892935796303,-50.13987435278647,-34.96888019643915,-24.19718487087369,-47.20073073363455,-25.702717985719225,-5.676272935223098,-11.384487961610317,-93.35135404357986,-99.19386434234198,-97.14121915155826,-79.58354000398317,-77.62826968207209
ARG,Argentina,44938712.0,-36.50308237634679,-21.5189685333318,-28.492787785900287,-84.02419781264172,-75.01015372782537,-47.936967799918065,-42.26938173896143,-81.32855582921002,-87.70752834338246,-90.97920653805448,-61.229448594050126,-49.96543451156187,-57.76631144268659,-72.382562368427
CHL,Chile,18952038.0,-22.96235523190816,52.90958606602862,63.117137208016295,-29.75888934246366,30.28986644441695,6.036947573356969,522.958418960943,-77.08691252998428,-74.3857850415134,-29.30230070787635,137.34223984426325,197.94579968648767,151.8744496971313,110.40631614072342
COD,Dem. Rep. Congo,86790567.0,-33.97249069941867,-51.709504850382295,-97.07398381007341,-100.02862308384141,-100.02514759323802,-100.02714646587474,-100.02367819703792,-0.39779575567215114,17.013587657432875,174.64825201909363,-67.42251142327936,-83.42435572132912,-86.69247442172802,602.0723845609598
SOM,Somalia,10192317.3,-51.055211439953126,-25.128061791167926,1.7396093647144446,-100.0335164170832,-100.03427004199483,-100.03665383460036,-100.0409001166837,8.847423454960344,-1.4564121741143166,-24.242348872192025,-98.43412534907992,-99.74948055586249,-98.7582785668626,-76.52389595621455
KEN,Kenya,52573973.0,110.1905502904313,-18.995059325452285,34.755831067421674,48.11399588924651,-37.670857313774675,-31.531907626570344,-33.716011604257304,-21.174568183397938,-24.564201812667786,-19.00135280532017,-49.54282941756223,-52.76295781872409,-49.15988906618215,-72.10527255860686
SDN,Sudan,42813238.0,-18.481960354512474,-22.181898688438576,-63.49191636974886,-34.658773872658955,-47.90419115192382,-39.290794749585096,-36.002249572384045,-61.72730828275685,64.2484838055567,-88.84116544437254,70.52287218448537,-92.09005122532973,47.90832139625323,-31.79715553221926
TCD,Chad,15946876.0,-53.59196166859754,-44.5125429775153,2.0056551266210714,-90.13345163210003,-88.59497631178151,-84.21091416688611,-77.88857617717284,-40.2393007375635,13.397297094143628,-2.867183949026837,-94.44025713597951,-24.526391849665725,-96.39638388813819,-91.14758221527629
HTI,Haiti,11263077.0,262.12381879878296,232.49462017657098,70.69679307734117,30.50393448606062,56.380651825926556,68.0044061148518,31.629216570484907,264.7958549413491,-40.24582445958521,-38.63740935737143,-36.14202207708793,-98.92822492263417,-64.18895434129473,62.536655004544095
DOM,Dominican Rep.,10738958.0,-36.634041219553666,-46.58863717392097,-74.01930463440284,-67.73407415292245,-76.50334001168206,-81.7740152015251,-69.35842582177037,-97.71532243910902,-96.30559662035301,5.127633960549844,-46.55278714292538,-76.07951258871185,-50.09901083377284,-92.43409612189083
RUS,Russia,144373535.0,-2.0144305720154247,25.559069459367766,-88.26833479340263,-93.19574177064892,-99.73737457993859,-99.0034306557837,-91.81019351425387,2902.790802341385,2357.9398219327595,2858.214016608638,2458.7444568924775,1507.4603439171924,2173.038457276996,745.8808426023774
BHS,Bahamas,389482.0,-85.03744055903823,-87.7948135166959,-84.93990567030612,-90.33150873306758,-92.54790076396907,-91.73736065923383,-94.53449717542564,-21.807143230172056,-16.931857092481536,37.83659773512901,-49.38973767971645,-33.98014003440126,-53.988472202479485,-49.21035622697838
